f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.0,0.0,0.0,-0.24066828,-0.14964105,-0.1278042,-0.46170065,-0.6087045,-0.1521882,-0.57742864,-0.98900664,-0.17914422,-0.58938783,-1.272853,-0.16442579,-0.35524216,-0.9902985,0.042790458,-0.4018409,-1.2751158,-0.110099636,-0.35163033,-0.9122013,-0.16356598,-0.31387305,-0.7885145,-0.1721188,-0.15758485,-1.0143094,0.049530618,-0.20691356,-1.2540588,-0.105765976,-0.19211575,-0.8348662,-0.103994966,-0.16956098,-0.8053006,-0.056985177,0.043815274,-0.9747834,0.013970451,0.015837446,-1.20766,-0.14534514,-0.00749866,-0.82604724,-0.069431975,0.005151712,-0.7742512,0.028562773,0.25130385,-0.90864587,-0.037194636,0.24421269,-1.1314262,-0.11023666,0.18369265,-0.88790286,-0.052106384,0.17123868,-0.80902475,0.016268978,a
0.0,0.0,0.0,-0.25189596,-0.1611095,-0.12667942,-0.46174288,-0.62288386,-0.15431325,-0.5556434,-1.0031431,-0.1862024,-0.5667062,-1.2913865,-0.17849037,-0.3435324,-0.9995311,0.03560845,-0.38800907,-1.2985193,-0.11854417,-0.34858745,-0.93977135,-0.17397909,-0.31336835,-0.80930865,-0.18380693,-0.14261837,-1.0173526,0.038872663,-0.19073543,-1.2752264,-0.11896008,-0.18734865,-0.8569394,-0.11828943,-0.16078073,-0.8183827,-0.07185421,0.060366593,-0.9713691,0.00052312796,0.03291206,-1.2231288,-0.16194822,-0.0017252116,-0.84385264,-0.08654459,0.011727048,-0.7839163,0.011599357,0.2688515,-0.9003991,-0.05328468,0.26538247,-1.1434705,-0.128675,0.19615611,-0.90725535,-0.06959666,0.18023401,-0.8222418,-0.00045624096,a
0.0,0.0,0.0,-0.259664,-0.15116723,-0.13453749,-0.48233488,-0.6146502,-0.16495895,-0.58182967,-1.0092087,-0.1992914,-0.59088504,-1.3043867,-0.19369614,-0.35869807,-0.9973007,0.030504346,-0.3974323,-1.3011333,-0.1292418,-0.35609102,-0.9386253,-0.18581073,-0.32255155,-0.82129526,-0.19680381,-0.15169151,-1.0116773,0.034758665,-0.19417325,-1.2674859,-0.12972204,-0.19598249,-0.8484558,-0.13332787,-0.17931305,-0.83034873,-0.089136995,0.05535179,-0.96819675,-0.0037236442,0.02979178,-1.2127153,-0.17315249,-0.008123587,-0.8315253,-0.10053742,-0.000327317,-0.79109013,-0.0035896997,0.26880994,-0.9054817,-0.058352895,0.26291192,-1.1420798,-0.13913,0.19492243,-0.90474033,-0.08238422,0.18215095,-0.83013356,-0.0143008465,a
0.0,0.0,0.0,-0.24258001,-0.15677978,-0.12152006,-0.45919937,-0.6145301,-0.14558896,-0.5650559,-0.99263126,-0.17420109,-0.58198303,-1.2783148,-0.16172901,-0.3535028,-0.9918745,0.03767099,-0.39879528,-1.2756084,-0.114429764,-0.35471654,-0.91083735,-0.16386083,-0.319678,-0.81103456,-0.17107987,-0.1545443,-1.0116137,0.0382417,-0.19882606,-1.2496332,-0.11983005,-0.19270149,-0.8261706,-0.1146758,-0.16745828,-0.8195076,-0.06547994,0.049973715,-0.97304845,-0.0023552803,0.023230046,-1.2105747,-0.16527997,-0.006885972,-0.82686555,-0.085427135,0.009697442,-0.790737,0.015337392,0.2580388,-0.91027397,-0.05819558,0.25383678,-1.1418582,-0.13452949,0.18875296,-0.89713806,-0.074044764,0.17879306,-0.82010007,-0.0033720937,a
0.0,0.0,0.0,-0.25732884,-0.1665845,-0.12296731,-0.47349522,-0.6168925,-0.15032268,-0.5837899,-0.99243987,-0.18327416,-0.6097203,-1.2851877,-0.17702053,-0.35802945,-0.98809063,0.036770325,-0.40473878,-1.2974912,-0.115127765,-0.3611626,-0.9400135,-0.1706143,-0.32541025,-0.8042634,-0.1805638,-0.15883261,-1.0119026,0.04036108,-0.20715499,-1.2702959,-0.112459525,-0.19892913,-0.859812,-0.113557145,-0.1739097,-0.8174401,-0.07172421,0.043541215,-0.97488064,0.003317263,0.018702805,-1.2324387,-0.15629397,-0.013794359,-0.85828805,-0.084531784,-0.0019862084,-0.78704923,0.009829191,0.25010002,-0.9125484,-0.048488542,0.2530572,-1.1724069,-0.12459564,0.18549824,-0.94137746,-0.068732284,0.16773732,-0.84236336,-0.0019791783,a
0.0,0.0,0.0,-0.26367927,-0.16510186,-0.1255261,-0.48771018,-0.6099188,-0.16046035,-0.6061404,-0.99137235,-0.20061603,-0.6271102,-1.2927104,-0.20151238,-0.38045907,-0.9826868,0.016789448,-0.4218681,-1.2971448,-0.15331829,-0.36593133,-0.9339561,-0.21555363,-0.33282727,-0.7876369,-0.22653995,-0.17535612,-1.0060152,0.017824296,-0.2213817,-1.2623751,-0.15084402,-0.20025137,-0.8384652,-0.15245166,-0.181076,-0.79521984,-0.108631894,0.036057886,-0.97348154,-0.022118906,0.009561572,-1.2321655,-0.19432826,-0.0091781905,-0.84429085,-0.11659659,-0.00027982562,-0.778311,-0.015968218,0.24990612,-0.91367906,-0.07677701,0.25244617,-1.1703913,-0.16127655,0.19238698,-0.9269862,-0.1026509,0.17325416,-0.8312487,-0.03219936,a
0.0,0.0,0.0,-0.24752447,-0.15608485,-0.116335675,-0.46827498,-0.59724426,-0.14434445,-0.5899195,-0.9689842,-0.17888628,-0.6143711,-1.2646631,-0.17446066,-0.36367977,-0.9827317,0.03473649,-0.42316136,-1.2727566,-0.1249356,-0.37231177,-0.91584706,-0.18176375,-0.3329283,-0.7926996,-0.19107999,-0.16961479,-1.0081441,0.032300122,-0.22923538,-1.2498493,-0.12819713,-0.20976992,-0.83567595,-0.12585859,-0.17985135,-0.8069524,-0.07893165,0.031883534,-0.9768421,-0.0106229605,-0.01087129,-1.2171774,-0.17560755,-0.02622092,-0.8381584,-0.095922746,-0.003827138,-0.78531927,0.0054979934,0.23748818,-0.91867757,-0.06782303,0.22301857,-1.1672974,-0.14539047,0.16816571,-0.9158777,-0.08139121,0.16663681,-0.8181629,-0.007311337,a
0.0,0.0,0.0,-0.25529137,-0.16962643,-0.10969588,-0.4838145,-0.59753853,-0.13454731,-0.606353,-0.9647121,-0.16822645,-0.6275952,-1.2475984,-0.16099669,-0.37649977,-0.9772702,0.05795775,-0.43535966,-1.264867,-0.09993311,-0.384137,-0.9149498,-0.15210494,-0.3508392,-0.8172582,-0.15787669,-0.18648833,-1.0005399,0.054337993,-0.23794824,-1.2352875,-0.10749381,-0.2215922,-0.81134003,-0.10371454,-0.20739858,-0.8193279,-0.052566797,0.011052475,-0.9761806,0.00920666,-0.027424058,-1.2015787,-0.15419036,-0.043807123,-0.81576043,-0.07208869,-0.028252335,-0.79214567,0.03259566,0.2100506,-0.93085855,-0.050288875,0.18929629,-1.1495652,-0.12037253,0.13707317,-0.89627963,-0.05248897,0.14135185,-0.82296836,0.024980538,a
0.0,0.0,0.0,-0.26040268,-0.176052,-0.10121221,-0.47859842,-0.6053475,-0.1266856,-0.5976086,-0.96888727,-0.16358143,-0.62704635,-1.2624921,-0.164415,-0.37008816,-0.9816781,0.05114171,-0.42238742,-1.2730254,-0.10933401,-0.37414113,-0.94379693,-0.17277877,-0.34157094,-0.81361717,-0.18521358,-0.18011518,-1.0051895,0.042279184,-0.23227908,-1.2464129,-0.115603,-0.21387789,-0.8533793,-0.12083153,-0.19485113,-0.8146711,-0.080088556,0.018598499,-0.9766232,-0.0057623307,-0.022993585,-1.2111094,-0.16673008,-0.037322417,-0.8447695,-0.09440562,-0.022523256,-0.78046525,0.0019888023,0.22160454,-0.92212373,-0.066745736,0.20520167,-1.1771263,-0.13871294,0.1502752,-0.93815684,-0.07459301,0.14581485,-0.83482873,-0.00058183225,a
0.0,0.0,0.0,-0.2640823,-0.16555932,-0.10666046,-0.4880828,-0.60333586,-0.13169275,-0.6092801,-0.98163354,-0.16595195,-0.64641124,-1.280907,-0.16263294,-0.38974023,-0.97582304,0.047881138,-0.44436714,-1.2792517,-0.11551816,-0.39481047,-0.9457104,-0.17794955,-0.36057448,-0.8199174,-0.18938015,-0.1948307,-1.0009145,0.041544195,-0.24349515,-1.2485751,-0.121007584,-0.22455329,-0.8438528,-0.12642945,-0.20666075,-0.8050522,-0.08426947,0.007026288,-0.97561085,-0.0047586337,-0.026349653,-1.2163017,-0.17039119,-0.041518047,-0.84224945,-0.09798161,-0.030900601,-0.77936757,-0.0001839283,0.21274897,-0.9256356,-0.06397906,0.20066234,-1.1748229,-0.14022405,0.14900191,-0.92903507,-0.07722607,0.14092308,-0.8277729,-0.0028412542,a
